,RT_l10,sd_RT,FC_l10,sd_FC,FC,RT,followers_count,friends_count,listed_count,favourites_count,statuses_count,protected,geo_enabled,verified,contributors_enabled,is_translator,is_translation_enabled,profile_background_tile,profile_use_background_image,has_extended_profile,default_profile,default_profile_image
935,0.3,0.6403124237432848,1.8,1.6,0.0,0.0,159.0,226.0,1.0,8791.0,3941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
936,0.0,0.0,0.4,0.4898979485566357,0.0,0.0,1181.0,1124.0,42.0,93690.0,89756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
937,0.8,0.8717797887081347,7.0,6.212889826803628,3.0,0.0,466.0,304.0,4.0,18983.0,21884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
938,0.4,0.916515138991168,1.9,3.4770677301427417,0.0,0.0,25.0,29.0,0.0,3495.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
939,0.6,0.7999999999999999,2.3,2.4103941586387903,2.0,0.0,177.0,500.0,1.0,24719.0,9072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940,2.4,2.0099751242241783,1.0,1.0,1.0,2.0,1219.0,436.0,27.0,2555.0,5892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
941,0.0,0.0,0.0,0.0,0.0,0.0,494.0,75.0,8.0,54.0,17784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
942,0.5,1.5,2.3,5.000999900019995,4.0,1.0,166.0,596.0,0.0,2794.0,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
943,0.3,0.4582575694955841,0.1,0.30000000000000004,0.0,0.0,131.0,196.0,1.0,854.0,10120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
944,28.4,16.353592877407706,28.7,25.783909711290875,20.0,17.0,4353.0,3383.0,22.0,11785.0,10162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
945,0.3,0.4582575694955841,1.5,1.746424919657298,0.0,0.0,62.0,616.0,0.0,1258.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946,0.1,0.30000000000000004,0.2,0.6000000000000001,0.0,0.0,19.0,56.0,0.0,134.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
947,0.0,0.0,0.5,0.8062257748298549,1.0,0.0,218.0,362.0,1.0,5145.0,4574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
948,5.9,5.940538696111657,15.9,23.725302948539984,49.0,16.0,1027.0,988.0,0.0,9017.0,8055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
949,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,268.0,953.0,7.0,1327.0,27815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,0.0,0.0,0.3,0.4582575694955841,0.0,0.0,501.0,2623.0,5.0,3857.0,4390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
951,0.0,0.0,2.0,2.4899799195977463,0.0,0.0,687.0,1772.0,11.0,64160.0,22211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
952,0.0,0.0,0.9,1.8138357147217052,6.0,1.0,602.0,743.0,19.0,23623.0,139721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
953,2.5,3.4132096331752027,16.3,42.261211530196334,1.0,0.0,883.0,634.0,17.0,12121.0,22584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954,0.2,0.6000000000000001,1.1,2.022374841615669,1.0,0.0,193.0,459.0,2.0,4812.0,10255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
955,2.9,3.047950130825634,7.7,8.124653838779842,12.0,4.0,417.0,207.0,9.0,2569.0,1943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956,0.4,0.6633249580710799,2.1,3.3301651610693423,2.0,0.0,212.0,197.0,4.0,18210.0,21299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957,0.1,0.30000000000000004,0.8,0.7483314773547883,1.0,0.0,326.0,431.0,4.0,28151.0,10136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958,0.0,0.0,0.4,0.6633249580710799,0.0,0.0,105.0,191.0,0.0,19902.0,2188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
959,0.2,0.4000000000000001,1.2,1.6613247725836149,0.0,1.0,40.0,235.0,0.0,4537.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960,10.2,11.435033887138244,11.9,12.37295437638077,14.0,7.0,2233.0,2239.0,15.0,20070.0,11497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961,0.1,0.30000000000000004,2.4,3.97994974842648,6.0,4.0,670.0,320.0,1.0,9167.0,5539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962,0.4,0.916515138991168,1.3,3.5791060336346563,0.0,0.0,12876.0,292.0,31.0,389.0,13609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
963,0.0,0.0,1.3,2.147091055358389,0.0,0.0,129.0,122.0,1.0,215.0,1652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
964,0.2,0.4000000000000001,2.6,2.0099751242241783,3.0,0.0,8890.0,177.0,53.0,201672.0,59565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
965,0.0,0.0,0.6,0.4898979485566357,1.0,0.0,239.0,966.0,0.0,2764.0,1842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
