,date,trending_topics
27,23/02/2017,"#LoMas40Estrena,#DaniMartínenCanalFiesta,#CopaOK,#DT28,#PonteEnSerie2,#radiotubers91,#PAPconPabloGuerola,#AVEadebate,#Gala9GHVIP5,#ElNegocioDelRescate,#MalagaConPedro,#ShakhtarCelta,#vipzantinos,#mojitoparty17,#DMEIconEvaEnDejateLlevar,#PoderAndaluz28F,#NBATradeDeadline,#FirstDates267,#NecesitamosACintora,#Arxania,#Plusvalíaslasjustas,#MeTumboConRodri,#SeSientenCoño,#TarjetasBlack,Muniain,El Bilbao,Loreen,Ainge,Gent,Terrence Jones,Zenit,Santos Borré,Iturraspe,Matt Reeves,McDermott,Paul George,#LaHoraChachi414,#23F_ElGolpeDelRey,#quieroexaminarmedefrances,Apoel,#justicia,#FrasesQueSonMentira,Ranieri,#EuropaLeague,#ZiberSeg,#prescripcion23F,#RideToAbuDhabi,#AlienCovenant,#YoSoyRaquel,#FP_SA"
28,21/05/2017,"Obradovic,#ConexiónHonduras5,André Gomes,Athletic,Enhorabuena al Real Madrid,Farsa,#IHaveQuestions,Luis Enrique,Jordi Alba,Sandro,Pdr Snchz,Laura Gallego,Calderón,Eibar,#HalaMadrid,#L6Primarias,#GuadalajaraAdelante,#JuntosxGranada,#RealaEuropara,#UnicajaLive,#MePonesCadaDomingo,#SevillaFCFemA,#LasPalmasPeña,#JaenVsMagna,#APorLa33,#APorElOro,#TEDxYouthTorrelodones,#DiversidadCultural,#VamosCanarias,#PandaTeam,#VicenteCalderon,#VamosMalagueño,#13CongresoPPToledo,Resines,Olot,Tiago,Viñales,Fafe,Las Ramblas,Rossi,El Freixo,Mareo,Juan José Omella,Borja Iglesias,Laureano León,Lezama,Becerra,Juan Villar,Canet,Celta B"
29,03/06/2017,"Esteva,Allegri,Vardar,Larkin,Bonucci,#VivaLaVida3,GOLAZO,Bicho,Modric,Mario,Alex Sandro,Kroos,Higuaín,#L6Nmoixdimite,Buffon,Marcelo,Benzema,Ronaldo,Lucas Vázquez,Dybala,Black Eyed Peas,Isco,Casemiro,Mandzukic,Juve,#copapuleva,#ls39,#3jsinceta,#ehffinal4,#callofdata,#aforzadasideas,#aporladuodecima,#fiestabancaconvalores,#cccongrancanaria,#eligefuturo,#thechampionship,#enjuniomepones,#sumandoilusiones,#xiiasembleaeu,#amuntlacopa,#acometcaceres,#graduaciónimf,#hastaelfinalvamosreal,#finalchampionsleague,#lechazosurvival,#motogp,#escuchodialtalcual,#espartanasinterviú,#del40al1cocacola,#stopceta"
30,04/06/2017,"#ehffinal4,#ReusRealValladolid,#E3Eurogamer,#BringbackSense8,#TenerifeNastic,Manuela Carmena,Florentino y Cifuentes,Carlos Tartiere,Doncic,Rosa Montero,Culio,Rafa Mir,Quim Araujo,Samaras,Baena,#RayoCCF,Alfaro,LEB Oro,Robleño,Gol del Cádiz,Montilivi,Cuadri,Mirandés,Girona-Zaragoza,#PerdonaSiTeLlamoAmor,#GunsNRosesMadrid,Chuli,Mestalla,Villanovense,Racing,Randolph,Juan Goytisolo,#CelebraciónChampionsTotal,#OneLoveManchester,#PreventivosCruzRoja,#AcometCáceres,#CHAMP12ONS,#4JInstitutoParaRincón,#dnc2017,#carreradelamujer,#RideOnKentuckyKid,#larryisoverparty,#DiadelDeporteLeganes,#jositajosi,#GNRMadridRockFM,#Bonilista,#EnCanalFiestaRadio,#mocioncensura,#OneLoveManchester,#MadridAlimenta"
31,23/07/2017,"#ESLMastersLoL,#JusticeLeague,#SusanaIlusiona,#ThorRagnarok,#MCF101TV,#FelizSabado,#MTVHottest,#SDCC2017,#AmyWinehouse,#PremiosPlatino,#GestaciónAltruista,#DomingoDeGanarSeguidores,#CONCACAFGoldCup,#Supernatural,#HispanosJunior,#Calatrava17,#CamilaIsOurPrincess,#Serrahima2017,#7YearOfOneDirection,#LaVidaEsChachi564,Miguel Bosé,Infinity War,Mireia Belmonte,Ready Player One,Gregorio Morán,Neymar,Black Panther,Yellow Claw,Camp Rock 2,Puerta Grande,Zeus,Ledecky,Washington,KSHMR,Bastad,Rafaelillo,Pino Zamorano,Vicky Losada,Lauren,Vamos España,Groenewegen,#Gladiator,V de Vendetta,Jordan Spieth,#40GlobalShow96,#VivaLaVida17,Inglaterra,#BalearesSinTortura,#PodemosVotaNO,#MTVHottest"
32,04/08/2017,"#HuelgaARajoy,#VeranoSinfínPS4,#PDG45,#IFSeguraDeLaSierra,#FelizJueves,#FelizFinde,#CMTrip,#DP26,#4Ago,#BuenViernes,#Celedon,#LaVidaEsChachi576,#VenezuelaForLiberty,#Zidane,#MundialAtletismo,#LGTBbabes,#BarçaB,#CorsairLeague,#ConstituyentePuebloSoberano,#FamaRemember,Iñigo Martínez,Verín,El Prat,Neymar,Ángel Nieto,Sagrario,Miguel Torres,Vitoria-Gasteiz,Bournemouth,Moix,Karate Kid,Arda,Dublín,Sergi Roberto,El Vaticano,Corey Fisher,Lillo,Rubén Castro,Delcy Rodríguez,Les Caleyes,#deschabellado,7x04 de GoT,#NuevoPSOE,Juan Mata,Vermaelen,Toulouse,#MVTHuellaFranco,#London2017,#DiaDeLaCerveza,#IFSeguraDeLaSierra"
33,02/10/2017,"#LigaDeLaJusticia,#FETesting,#WorldArchitectureDay,#PrayForTheWorld,#Premio,#SoloPasaConSwitch,#AskMichel,#DiaMundialArquitectura,#INKTOBER17,#OOW17,#discapacidadintelectual,#JapaneseGP,#plenocan,#ActualidadCs,#DebatRevolució,#tardaobertaTV3,#ESLMastersCS,#RealOviedoRealZaragoza,#ARMYSelcaDay,#3Oct,#LoMas40Conmigo,#zapeando967,Corredor Mediterráneo,Nioh,Antonio Gala,José Manuel Aira,Fran Canal,El Alto Comisionado de la ONU,Padrón,Dastis,Juanma Rodríguez,Aleix Vidal,Sabadell y Caixabank,Torrespaña,Arundhati Roy,La Eurocámara,Jordi Pujol y Marta Ferrusola,Amnistía Internacional,Rafa Nadal,Simpsons,Via Laietana,El Parlamento Europeo,#ForoNextCataluña,#escampalosa,#womenintech,#VagaGeneral3O,UGT y CCOO,Las Vegas,Calella,#PelisConAntidisturbios"
34,27/11/2017,"#LaRepúblicaEs,#glifosato,#Carrefour40añosConMadrid,#malmeterelu,#25PTA,#BTSxELLEN,#radiotubers223,#ARIASHARRYSTYLES,#LoMas40DontLie,#AhoraCaigo,#ProhibidoCreer,#CepedacitosDeTi,#premispopulars,#ahoratupais,#LaRisaEsBonita691,#IEMarketing,#Tendencias18MN,#EquiparacionPge2018,#PremiosMAS,#MerlíTV3,#SuperligaOrangeLoL7,#InventatuOreo,#MaresParaSiempre,#pasapalabra,#FDCInfluencers,#elintermedio,#EspanyolGetafe,#VenACenar51,#HoraPuntaTVE,Manolo Escobar,Sara Montiel,Pon a Prueba,La Junta Electoral,Cala,Gregorio Morán,Benevento,Jordi Sánchez,Los Piratas,Paco Jémez,David Fizdale,#YoVeoLQSA,#DaniMartinEH,#FirstDates493,#RajoyT5,#OTGala5,#AskFans,#VeremaBCN,#FPdual,#RepúblicaDominicana,#ReformaElectoral"
35,16/12/2017,"#3div5,#DHPlataMasc,#RealValladolidLorca,#CopaAsobal,#GuanyemCatalunya,#ReusGranada,#SuperligaOrangeLoLSemis,El Hércules,Jessica Vall,Soy Leyenda,Antonio Vega,ERC y JxCat,Odriozola,Stuttgart,El Pachuca,Özil,Rafael Alberti,Marcos Alonso,Balenziaga,Vela,Dembélé,Ludmila,Chelsea 1-0 Southampton,Udinese,Napoli,Oyarzabal,Susaeta,El Sadar,Canales,#EibarValencia,#EuropaEsNuestroFuturo,Sanchís,Aduriz,Modric,Geromel,Varane,#AthleticRealSociedad,#LaAmenazaFantasmaT5,Gremio,Casemiro,#OTDirecto16D,#CongresoPCM,#QueremosMúsicayDanza,#Zapeando1013,#FirstDates509,#WPTMasterFinal,#NetNeutrality,#Navidad,#EstoyVivoFinal,#SevillaFCLevante"
36,20/12/2017,"#ChiringuitoNavidad,#E3lapelicula,#VenACenar68,#ElCascabel20D,#LateMotiv321,#HaciaLaIIIRepública,#Serramoura97,#NavidadPPMadrid,#GranadaSporting,#AlfredX1016,#GetafeLasPalmas,#OtrosMundos,#OTDirecto21D,#Granjero5,#elintermedioreflexión,Bartzokas,Odriozola,Sarabia,Canales,Mbappé,Ganso,Sergi Guardiola,Bristol,La Falange,Rulli,Palau,#HughJackmanEH,#FirstDates513,#TiemposDeGuerra13,Carlos Vela,#MiCasaJuanes,#MCJunior,#Panenka69,#CadaGotaCuenta,#EuroLeagueWomen,#WeAreAllHarry,#RMClasico,#AR20D,#ElijamosMenú,#SumaTuLuz,#cienciaciudadana,#EstaNavidadRegalaASummerStory,#contufuturo,#Navarrómetro,#FelizNaviMÁS,#yuDeGratis,#ElGranDerbi,#PlenoAnd,#postureo,#PremiosiAgua"
