,RT_l10,sd_RT,FC_l10,sd_FC,id,followers_count,friends_count,listed_count,favourites_count,statuses_count,class_fc,class_rt
1333,13.4,24.113066996962463,35.2,51.737413928413545,1097997626.0,5519.0,5545.0,96.0,44597.0,32983.0,0.0,0.0
1334,954.0,608.3643645053512,7835.8,4259.187875640143,1114200326.0,2074834.0,215.0,2265.0,100.0,780.0,4.0,4.0
1335,0.2,0.4000000000000001,1.1,1.5132745950421556,1115204749.0,331.0,294.0,3.0,9633.0,11812.0,0.0,0.0
1336,0.2,0.6000000000000001,1.3,1.2688577540449522,1117601179.0,3440.0,390.0,186.0,2098.0,4932.0,0.0,0.0
1337,0.2,0.6000000000000001,1.9,1.57797338380595,1122615356.0,787.0,417.0,19.0,12403.0,11061.0,0.0,0.0
1338,0.0,0.0,0.2,0.4000000000000001,1123711819.0,171.0,153.0,1.0,7839.0,2872.0,0.0,0.0
1339,1.4,2.9393876913398134,20.1,53.341259827641856,1132177824.0,14832.0,7300.0,84.0,14628.0,104448.0,0.0,0.0
1340,0.5,0.6708203932499369,2.6,3.903844259188627,1132235430.0,986.0,467.0,23.0,876.0,41338.0,0.0,0.0
1341,0.0,0.0,0.3,0.4582575694955841,1135291470.0,1131.0,2960.0,14.0,9409.0,14379.0,0.0,0.0
1342,25.9,21.773607877428127,121.1,53.37312057581044,1139001474.0,2128620.0,215.0,4342.0,2998.0,33958.0,2.0,2.0
1343,0.2,0.6000000000000001,1.7,2.6095976701399777,1139859955.0,554.0,401.0,3.0,40473.0,18763.0,0.0,1.0
1344,0.0,0.0,0.1,0.30000000000000004,1143617923.0,52.0,214.0,0.0,4539.0,1754.0,0.0,0.0
1345,0.5,0.5,0.9,0.5385164807134504,1158070051.0,102.0,100.0,0.0,151.0,398.0,0.0,0.0
1346,0.2,0.4,3.3,5.386093203798091,1161225247.0,261.0,480.0,2.0,27163.0,17717.0,0.0,0.0
1347,0.0,0.0,0.1,0.30000000000000004,1165734943.0,120.0,185.0,0.0,18.0,2830.0,0.0,0.0
1348,0.2,0.4000000000000001,1.3,1.8466185312619392,1171755768.0,766.0,117.0,7.0,138.0,3766.0,0.0,0.0
1349,18.4,44.907015042195795,88.1,135.64029637242763,1172448038.0,937.0,774.0,0.0,9406.0,8600.0,0.0,0.0
1350,0.0,0.0,0.0,0.0,1173266886.0,260758.0,56003.0,640.0,42624.0,1164397.0,0.0,0.0
1351,0.8,2.08806130178211,1.2,2.6758176320519302,1179331182.0,30.0,18.0,0.0,1583.0,1415.0,0.0,0.0
